Code,Status,Country Name,Country Code,Category,KeyWord to Search,Document Title,Exists?,Type,Publication Date,Publication Year,,Start Year,End Year,Language,Link
ALB-CPD-2021-EN,Completed,Albania,ALB,CPD,,UN Country programme document for Albania (2022–2026),Y,Text,30 August–2 September 2021,2021,,2022,2026,EN,https://digitallibrary.un.org/record/3933636/files/DP_DCP_ALB_3-EN.pdf?ln=en
ALB-CPD-2021-FR,,Albania,ALB,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,30 August–2 September 2021,2021,,2022,2026,FR,https://digitallibrary.un.org/record/3933636/files/DP_DCP_ALB_3-FR.pdf?ln=en
ALB-CPD-2021-SP,,Albania,ALB,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,30 August–2 September 2021,2021,,2022,2026,SP,https://digitallibrary.un.org/record/3933636/files/DP_DCP_ALB_3-ES.pdf?ln=en
ALB-NES-2018-EN,Completed,Albania,ALB,NES,,USAID ENERGY STRATEGY FOR ALBANIA (2017-2030),Y,Text,January 2018,2018,,2018,2018,EN,https://cdn.climatepolicyradar.org/navigator/ALB/2018/national-energy-strategy-2018_df00a495b65149b789cf6443dd177cea.pdf
ALB-NEPro-2022-EN,Completed,Albania,ALB,NEPro,,Energy profile Albania IRENA,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Europe/Albania_Europe_RE_SP.pdf?country=Albania&regionID=&countryID=94dcec12-925b-43d2-8c53-c108aec5d2ee
ALB-NEP-2013-EN,,Albania,ALB,NEP,,Solar Water Heating System Project: Albania Country Program,Y,Text,2013,2013,,2013,2020,EN,https://www.undp.org/sites/g/files/zskgke326/files/migration/al/Solar-Thermal-Obligation-for-Tirana-Municipality.pdf
ALB-NREP-2021-EN,Completed,Albania,ALB,NREP,,DENA Factsheet: Renewable Energy in Albania,Y,Text,2021,2021,,2021,,EN,https://unece.org/sites/default/files/2021-07/UNECE-RE_Uptake_Factsheet_Albania.pdf
ALB-NREP-2021-EN,.txt-File missing,Albania,ALB,NREP,,IRENA Renewables Readiness Assessment Albania,Y,Text,2021,2021,,2021,2050,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Publication/2021/March/IRENA_RRA_Albania_2021.pdf?rev=6b6325eaf5b046329500b961042a265f
ALB-NECP-2021-EN,,Albania,ALB,NECP,,Draft of the National Energy and Climate Plan of the Republic of Albania,Y,Text,July 2021,2021,,2020,2050,EN,https://www.energy-community.org/dam/jcr:a0c2b8a8-96c8-4423-993a-537cf51daa65/Draft_NECP_AL_%202021.pdf
ALB-NREPl--,,Albania,ALB,NREPl,intitle:'Albania Renewable Energy Plan',,N,,,,,,,,
ALB-NETS-2019-EN,Completed,Albania,ALB,NETS,,L’Agence française de développement and Energy Efficiency,Y,Text,2019,2019,,2019,2022,EN,https://www.energy-community.org/dam/jcr:8ed74e96-2638-4e57-9eb6-d8453d643bbe/EECG112021_AFDEE.pdf
ALB-NEEP--,,Albania,ALB,NEEP,intitle:'Albania Energy Efficiency Plan',,N,,,,,,,,
ALB-NEPF--,,Albania,ALB,NEPF,intitle:'Albania Energy Policy Frameworks',,N,,,,,,,,
ALB-NRER--,,Albania,ALB,NRER,intitle:'Albania Renewable Energy Roadmap',,N,,,,,,,,
ALB-NREIP--,,Albania,ALB,NREIP,intitle:'Albania Renewable Energy Investment Plan',,N,,,,,,,,
ALB-NREAP-2016-EN,,Albania,ALB,NREAP,,National Action Plan for Renewable Energy Resources in Albania,Y,Text,2016,2016,,2015,2020,EN,https://www.energy-community.org/dam/jcr:65a24569-9c85-4b49-b9eb-fcc30ffa8dc2/NREAP_2016_AL.pdf
ALB-NREAP-2018-AL,,Albania,ALB,NREAP,,Albania National Action Plan on Renewable Energy 2018-2020.,Y,Text,2018,2018,,2018,2020,AL,https://faolex.fao.org/docs/pdf/ALB181524.pdf
ALB-AREA--,,Albania,ALB,AREA,intitle:'Albania Atomic Energy Regulatory Act',,N,,,,,,,,
ALB-ASE--,,Albania,ALB,ASE,intitle:'Albania Achieving Sustainable Energ',,N,,,,,,,,
ALB-LCEDP--,,Albania,ALB,LCEDP,intitle:'Albania Least Cost Energy Development Plan',,N,,,,,,,,
ALB-NECP--,,Albania,ALB,NECP,intitle:'Albania Energy and Climate Plan',,N,,,,,,,,
ALB-NEDS--,,Albania,ALB,NEDS,intitle:'Albania Energy Development Strategy',,N,,,,,,,,
ALB-NGP-2016-EN,,Albania,ALB,NGP,,"Gas Master Plan for Albania &
Project Identification Plan",Y,Text,2016,2016,,2016,,EN,https://www.infrastruktura.gov.al/wp-content/uploads/2017/12/WB11-ALB-ENE-01_Institutional_Review_Final_20160418.pdf
ALB-NREAP-2015-EN,,Albania,ALB,NREAP,,National Action Plan for Renewable Energy Resources in Albania 2015-2020,Y,Text,2015,2015,,2015,2020,EN,https://www.energy-community.org/dam/jcr:65a24569-9c85-4b49-b9eb-fcc30ffa8dc2/NREAP_2016_AL.pdf
ALB-NREDS-2005-EN,,Albania,ALB,NREDS,,THE NATIONAL STRATEGY OF ENERGY AND PLAN OF ACTION,Y,Text,2005,2005,,2005,2020,EN,https://unfccc.int/files/meetings/seminar/application/pdf/sem_albania_sup1.pdf
ALB-NREEP-2013-EN,,Albania,ALB,NREEP,,Energy Efficiency Policy of  Albania,Y,Text,2013,2013,,2013,2020,EN,https://www.energycharter.org/fileadmin/DocumentsMedia/IDEER/IDEER-Albania_2013_en.pdf
ALB-NRES--,,Albania,ALB,NRES,intitle:'Albania /Renewable Energy Strategy',,N,,,,,,,,
ALB-SREP--,,Albania,ALB,SREP,intitle:'Albania Scaling Up Renewable Energy Program',,N,,,,,,,,
ALB-NSESDSP--,,Albania,ALB,NSESDSP,intitle:'Albania SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,N,,,,,,,,
ALB-SEP--,,Albania,ALB,SEP,intitle:'Albania Sustainable Energy Project',,N,,,,,,,,
ALB-NER--,,Albania,ALB,NER,intitle:'Albania Energy Roadmap',,N,,,,,,,,
ALB-NEPEAP--,,Albania,ALB,NEPEAP,intitle:'Albania Energy Policy and Energy Action Plan',,N,,,,,,,,
ALB-NSAPES--,,Albania,ALB,NSAPES,intitle:'Albania Strategic Action Plan Energy Sector',,N,,,,,,,,
ALB-NREEEP--,,Albania,ALB,NREEEP,intitle:'Albania Renewable Electricity and Energy Efficiency Plan',,N,,,,,,,,
ALB-NSP--,,Albania,ALB,NSP,intitle:'Albania Strategic Plan',,N,,,,,,,,
ALB-NEAP--,,Albania,ALB,NEAP,intitle:'Albania Energy Action Plan',,N,,,,,,,,
DZA-CPD-2023-EN,,Algeria,DZA,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,30 January – 3 February 2023,2023,,2023,2027,EN,https://digitallibrary.un.org/record/3998969/files/DP_DCP_DZA_4-EN.pdf?ln=en
DZA-CPD-2023-FR,,Algeria,DZA,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,30 January – 3 February 2023,2023,,2023,2027,FR,https://digitallibrary.un.org/record/3998969/files/DP_DCP_DZA_4-FR.pdf?ln=en
DZA-CPD-2023-SP,,Algeria,DZA,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,30 January – 3 February 2023,2023,,2023,2027,SP,https://digitallibrary.un.org/record/3998969/files/DP_DCP_DZA_4-ES.pdf?ln=en
DZA-NREP-2020-EN,,Algeria,DZA,NREP,,SEFA Appraisal Request (SGR) - Green Baseload,Y,Text,May 2020,2020,,2015,2030,EN,https://www.afdb.org/sites/default/files/documents/projects-and-operations/algeria_-_algeria_renewable_energy_program_arep_-_g-dz-fz0-pre-001_-_par_-_sefa.pdf
DZA-NEPro-2022-EN,,Algeria,DZA,NEPro,,"Algeria Energy rofile",Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Algeria_Africa_RE_SP.pdf?country=Algeria&regionID=&countryID=132f2b7d-a9d0-4e26-85c8-476bcda948ba
DZA-AREA--,,Algeria,DZA,AREA,intitle:'Algeria Atomic Energy Regulatory Act',,N,,,,,,,,
DZA-ASE--,,Algeria,DZA,ASE,intitle:'Algeria Achieving Sustainable Energ',,N,,,,,,,,
DZA-LCEDP--,,Algeria,DZA,LCEDP,intitle:'Algeria Least Cost Energy Development Plan',,N,,,,,,,,
DZA-NECP--,,Algeria,DZA,NECP,intitle:'Algeria Energy and Climate Plan',,N,,,,,,,,
DZA-NEDS--,,Algeria,DZA,NEDS,intitle:'Algeria Energy Development Strategy',,N,,,,,,,,
DZA-NGP--,,Algeria,DZA,NGP,intitle:'Algeria Gas Policy',,N,,,,,,,,
DZA-NREAP--,,Algeria,DZA,NREAP,intitle:'Algeria Renewable Energy Action Plan',,N,,,,,,,,
DZA-NREDS--,,Algeria,DZA,NREDS,intitle:'Algeria Renewable Energy Development Strategy',,N,,,,,,,,
DZA-NREEP--,,Algeria,DZA,NREEP,intitle:'Algeria Rational and Efficient use of Energy Plan',,N,,,,,,,,
DZA-NRES--,,Algeria,DZA,NRES,intitle:'Algeria /Renewable Energy Strategy',,N,,,,,,,,
DZA-SREP--,,Algeria,DZA,SREP,intitle:'Algeria Scaling Up Renewable Energy Program',,N,,,,,,,,
DZA-NSESDSP--,,Algeria,DZA,NSESDSP,intitle:'Algeria SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,N,,,,,,,,
DZA-SEP--,,Algeria,DZA,SEP,intitle:'Algeria Sustainable Energy Project',,N,,,,,,,,
DZA-NER--,,Algeria,DZA,NER,intitle:'Algeria Energy Roadmap',,N,,,,,,,,
DZA-NEPEAP--,,Algeria,DZA,NEPEAP,intitle:'Algeria Energy Policy and Energy Action Plan',,N,,,,,,,,
DZA-NSAPES--,,Algeria,DZA,NSAPES,intitle:'Algeria Strategic Action Plan Energy Sector',,N,,,,,,,,
DZA-NREEEP--,,Algeria,DZA,NREEEP,intitle:'Algeria Renewable Electricity and Energy Efficiency Plan',,N,,,,,,,,
DZA-NSP--,,Algeria,DZA,NSP,intitle:'Algeria Strategic Plan',,N,,,,,,,,
DZA-NEAP--,,Algeria,DZA,NEAP,intitle:'Algeria Energy Action Plan',,N,,,,,,,,
AGO-CPD-2019-EN,Completed,Angola,AGO,CPD,,UN Country programme document for Angola (2020-2022),Y,Text,3 to 6 September 2019,2019,,2020,2022,EN,https://digitallibrary.un.org/record/3813093/files/DP_DCP_AGO_4-EN.pdf?ln=en
AGO-CPD-2019-SP,,Angola,AGO,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,3 to 6 September 2019,2019,,2020,2022,SP,https://digitallibrary.un.org/record/3813093/files/DP_DCP_AGO_4-ES.pdf?ln=en
AGO-CPD-2019-FR,,Angola,AGO,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,3 to 6 September 2019,2019,,2020,2022,FR,https://digitallibrary.un.org/record/3813093/files/DP_DCP_AGO_4-FR.pdf?ln=en
AGO-NREP-2023-FR,,Angola,AGO,NREP,,PROGRAMME D’ENERGIE RENOUVELABLE,Y,Text,Janvier 2023,2023,,2022,2025,FR,https://www.afdb.org/sites/default/files/documents/projects-and-operations/angola_-programme_denergie_renouvelable_en_angola_arep-don_sefa_-_rapport_dachevement_de_projet.pdf
AGO-NEPro-2022-EN,Completed,Angola,AGO,NEPro,,Energy Profile Angola IRENA,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/Africa/Angola_Africa_RE_SP.pdf?country=Angola&regionID=&countryID=af6d0eca-7f88-4c5b-9d3e-9e3b7494ffd0
AGO-NEP--,,Angola,AGO,NEP,intitle:'Angola Energy Policy',,N,,,,,,,,
AGO-NREP-FREE-EN,,Angola,AGO,NREP,intitle:'Angola Renewable Energy Policy',,N,,NOT FREE,FREE,,NOT FREE,NOT FREE,EN,"https://www.globaldata.com/store/report/angola-renewable-energy-government-regulation-policy-analysis/#:~:text=Angola%20aims%20to%20increase%20the,to%20500%20MW%20by%202025."
AGO-NREPl--,,Angola,AGO,NREPl,intitle:'Angola Renewable Energy Plan',,N,,,,,,,,
AGO-NETS--,,Angola,AGO,NETS,intitle:'Angola Energy Transition Strategy',,N,,,,,,,,
AGO-NES--,,Angola,AGO,NES,intitle:'Angola Energy Strategy',,N,,,,,,,,
AGO-NEEP--,,Angola,AGO,NEEP,intitle:'Angola Energy Efficiency Plan',,N,,,,,,,,
AGO-NEPF--,,Angola,AGO,NEPF,intitle:'Angola Energy Policy Frameworks',,N,,,,,,,,
AGO-NRER--,,Angola,AGO,NRER,intitle:'Angola Renewable Energy Roadmap',,N,,,,,,,,
AGO-NREIP--,,Angola,AGO,NREIP,intitle:'Angola Renewable Energy Investment Plan',,N,,,,,,,,
AGO-AREA--,,Angola,AGO,AREA,intitle:'Angola Atomic Energy Regulatory Act',,N,,,,,,,,
AGO-ASE--,,Angola,AGO,ASE,intitle:'Angola Achieving Sustainable Energ',,N,,,,,,,,
AGO-LCEDP--,,Angola,AGO,LCEDP,intitle:'Angola Least Cost Energy Development Plan',,N,,,,,,,,
AGO-NECP--,,Angola,AGO,NECP,intitle:'Angola Energy and Climate Plan',,N,,,,,,,,
AGO-NEDS--,,Angola,AGO,NEDS,intitle:'Angola Energy Development Strategy',,N,,,,,,,,
AGO-NGP--,,Angola,AGO,NGP,intitle:'Angola Gas Policy',,N,,,,,,,,
AGO-NREAP--,,Angola,AGO,NREAP,intitle:'Angola Renewable Energy Action Plan',,N,,,,,,,,
AGO-NREDS--,,Angola,AGO,NREDS,intitle:'Angola Renewable Energy Development Strategy',,N,,,,,,,,
AGO-NREEP--,,Angola,AGO,NREEP,intitle:'Angola Rational and Efficient use of Energy Plan',,N,,,,,,,,
AGO-NRES--,,Angola,AGO,NRES,intitle:'Angola /Renewable Energy Strategy',,N,,,,,,,,
AGO-SREP--,,Angola,AGO,SREP,intitle:'Angola Scaling Up Renewable Energy Program',,N,,,,,,,,
AGO-NSESDSP--,,Angola,AGO,NSESDSP,intitle:'Angola SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,N,,,,,,,,
AGO-SEP-2023-EN,,Angola,AGO,SEP,,Angola Sustainable Energy Project,Y,Text,2023,2023,,2023,2025,EN,https://www.afdb.org/3895a8ee-bcbc-43f0-af5b-6275e7a2aac8
AGO-NER--,,Angola,AGO,NER,intitle:'Angola Energy Roadmap',,N,,,,,,,,
AGO-NEPEAP--,,Angola,AGO,NEPEAP,intitle:'Angola Energy Policy and Energy Action Plan',,N,,,,,,,,
AGO-NSAPES--,,Angola,AGO,NSAPES,intitle:'Angola Strategic Action Plan Energy Sector',,N,,,,,,,,
AGO-NREEEP--,,Angola,AGO,NREEEP,intitle:'Angola Renewable Electricity and Energy Efficiency Plan',,N,,,,,,,,
AGO-NSP--,,Angola,AGO,NSP,intitle:'Angola Strategic Plan',,N,,,,,,,,
AGO-NEAP--,,Angola,AGO,NEAP,intitle:'Angola Energy Action Plan',,N,,,,,,,,
ARG-CPD-2021-EN,Completed,Argentina,ARG,CPD,,"UN Country programme document for Argentina
(2021-2025)",Y,Text,7–11 June 2021,2021,,2021,2025,EN,https://www.undp.org/sites/g/files/zskgke326/files/2022-08/undp-rblac-ARG-2021-2025-ENG%20%282%29.pdf
ARG-CPD-2021-SP,,Argentina,ARG,CPD,,"Junta Ejecutiva del Programa
de las Naciones Unidas para el
Desarrollo, del Fondo de Población
de las Naciones Unidas y de la
Oficina de las Naciones Unidas
de Servicios para Proyectos",Y,Text,7–11 June 2021,2021,,2021,2025,SP,https://www.undp.org/sites/g/files/zskgke326/files/2022-08/arg-2021-2025-esp.pdf
ARG-NEPro-2022-EN,Completed,Argentina,ARG,NEPro,,Energy Profile Argentina IRENA,Y,Data,"24th August, 2022",2022,,2014,2022,EN,https://www.irena.org/-/media/Files/IRENA/Agency/Statistics/Statistical_Profiles/South-America/Argentina_South-America_RE_SP.pdf?country=Argentina&regionID=&countryID=4cb8dac7-5309-4f5f-8f42-1478bc8597d1
ARG-NEP--,,Argentina,ARG,NEP,intitle:'Argentina Energy Policy',,N,,,,,,,,
ARG-NREP-FREE-EN,,Argentina,ARG,NREP,intitle:'Argentina Renewable Energy Policy',,N,,NOT FREE,FREE,,NOT FREE,NOT FREE,EN,https://www.globaldata.com/store/report/argentina-renewable-energy-government-regulation-policy-analysis/
ARG-NREPl--,,Argentina,ARG,NREPl,intitle:'Argentina Renewable Energy Plan',,N,,,,,,,,
ARG-NETS--,,Argentina,ARG,NETS,intitle:'Argentina Energy Transition Strategy',,N,,,,,,,,
ARG-NES--,,Argentina,ARG,NES,intitle:'Argentina Energy Strategy',,N,,,,,,,,
ARG-NEEP--,,Argentina,ARG,NEEP,intitle:'Argentina Energy Efficiency Plan',,N,,,,,,,,
ARG-NEPF--,,Argentina,ARG,NEPF,intitle:'Argentina Energy Policy Frameworks',,N,,,,,,,,
ARG-NRER--,,Argentina,ARG,NRER,intitle:'Argentina Renewable Energy Roadmap',,N,,,,,,,,
ARG-NREIP--,,Argentina,ARG,NREIP,intitle:'Argentina Renewable Energy Investment Plan',,N,,,,,,,,
ARG-AREA--,,Argentina,ARG,AREA,intitle:'Argentina Atomic Energy Regulatory Act',,N,,,,,,,,
ARG-ASE--,,Argentina,ARG,ASE,intitle:'Argentina Achieving Sustainable Energ',,N,,,,,,,,
ARG-LCEDP--,,Argentina,ARG,LCEDP,intitle:'Argentina Least Cost Energy Development Plan',,N,,,,,,,,
ARG-NECP--,,Argentina,ARG,NECP,intitle:'Argentina Energy and Climate Plan',,N,,,,,,,,
ARG-NEDS--,,Argentina,ARG,NEDS,intitle:'Argentina Energy Development Strategy',,N,,,,,,,,
ARG-NGP--,,Argentina,ARG,NGP,intitle:'Argentina Gas Policy',,N,,,,,,,,
ARG-NREAP--,,Argentina,ARG,NREAP,intitle:'Argentina Renewable Energy Action Plan',,N,,,,,,,,
ARG-NREDS--,,Argentina,ARG,NREDS,intitle:'Argentina Renewable Energy Development Strategy',,N,,,,,,,,
ARG-NREEP--,,Argentina,ARG,NREEP,intitle:'Argentina Rational and Efficient use of Energy Plan',,N,,,,,,,,
ARG-NRES--,,Argentina,ARG,NRES,intitle:'Argentina /Renewable Energy Strategy',,N,,,,,,,,
ARG-SREP--,,Argentina,ARG,SREP,intitle:'Argentina Scaling Up Renewable Energy Program',,N,,,,,,,,
ARG-NSESDSP--,,Argentina,ARG,NSESDSP,intitle:'Argentina SUSTAINABLE ENERGY SECTOR DEVELOPMENT STRATEGY PLAN',,N,,,,,,,,
ARG-SEP--,,Argentina,ARG,SEP,intitle:'Argentina Sustainable Energy Project',,N,,,,,,,,
ARG-NER--,,Argentina,ARG,NER,intitle:'Argentina Energy Roadmap',,N,,,,,,,,
ARG-NEPEAP--,,Argentina,ARG,NEPEAP,intitle:'Argentina Energy Policy and Energy Action Plan',,N,,,,,,,,
ARG-NSAPES--,,Argentina,ARG,NSAPES,intitle:'Argentina Strategic Action Plan Energy Sector',,N,,,,,,,,
ARG-NREEEP--,,Argentina,ARG,NREEEP,intitle:'Argentina Renewable Electricity and Energy Efficiency Plan',,N,,,,,,,,
ARG-NSP--,,Argentina,ARG,NSP,intitle:'Argentina Strategic Plan',,N,,,,,,,,
ARG-NEAP--,,Argentina,ARG,NEAP,intitle:'Argentina Energy Action Plan',,N,,,,,,,,
ARM-CPD-2021-EN,Completed,Armenia,ARM,CPD,,UN Country programme document for Armenia (2021–2025),Y,Text,7–11 June 2021,2021,,2021,2025,EN,https://digitallibrary.un.org/record/3925128/files/DP_DCP_ARM_5-EN.pdf?ln=en
ARM-CPD-2021-SP,,Armenia,ARM,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier ",Y,Text,7–11 June 2021,2021,,2021,2025,SP,https://digitallibrary.un.org/record/3925128/files/DP_DCP_ARM_5-ES.pdf?ln=en
ARM-CPD-2021-FR,,Armenia,ARM,CPD,,"Gasification and Power Generation Characteristics of Rice
Husk, Sawdust, and Coconut Shell Using a Fixed-Bed
Downdraft Gasifier",Y,Text,7–11 June 2021,2021,,2021,2025,FR,https://digitallibrary.un.org/record/3925128/files/DP_DCP_ARM_5-FR.pdf?ln=en
ARM-NEEP-2015-EN,Completed,Armenia,ARM,NEEP,,"ECONOLER SECOND NATIONAL ENERGY EFFICIENCY 
ACTION PLAN FOR ARMENIA",Y,Text,20 July 2015,2015,,,,EN,https://policy.asiapacificenergy.org/sites/default/files/Second%20National%20Energy%20Efficiency%20Action%20Plan%20%28NEEAP%29%20%282015%20Draft%29.pdf
